Compound Name	Chemical Formula	SMILES	Names	Object ID	InChI-Key
(+)-(1(10)E,4E,6S,7R)-germacradien-6-ol	C15H26O1	CC(C)[C@@H]1([C@H](O)/C=C(C)/CC/C=C(C)/CC1)	(+)-(1(10)E,4E,6S,7R)-germacradien-6-ol	CPD-20086	InChIKey=PXMCURAOQSNMOZ-AHNWEQDZSA-N
(+)-(13S)-kolavelool	C20H34O1	C=CC(O)(C)CC[C@@]1(C)([C@H]2([C@](C)(CC[C@H](C)1)C(/C)=C/CC2))	(+)-(13S)-kolavelool	CPD-20434	InChIKey=YBDUXZKWDIUNSG-OMQSBVIBSA-N
(+)-(1R,4R)-limonene-1,2- epoxide	C10H16O1	C=C(C1(CCC2(C(C1)O2)(C)))C	a (4R)-1,2-epoxymenth-8-ene // a (4R)-limonene-1,2-epoxide	CPD-10140	InChIKey=CCEFMUBVSUDRLG-KXUCPTDWSA-N
(+)-(1S,4R)-limonene-1,2- epoxide	C10H16O1	C=C(C1(CCC2(C(C1)O2)(C)))C	a (4R)-1,2-epoxymenth-8-ene // a (4R)-limonene-1,2-epoxide	CPD-10139	InChIKey=CCEFMUBVSUDRLG-BBBLOLIVSA-N
(+)-(2S,3R,9R)-pristinol	C15H26O1	C[C@H]1([C@@H]2(CC(C)(C)C[C@@H](O)CC(/C)=C(CC1)/2))	(+)-(2S,3R,9R)-pristinol	CPD-20250	InChIKey=PXKJCWZAMAFFIW-GLBIRDDMSA-N
(+)-(3<i>S</i>)-linalyl diphosphate	C10H17O7P2	O(P(=O)([O-])OP(=O)([O-])[O-])[a monoterpenol]	(+)-(3S)-linalyl diphosphate	CPD-14088	InChIKey=UOJPTUWXHXNLDB-SNVBAGLBSA-K
(+)-(3S,4R)-cis-3,4-dihydroxy-3,4-dihydrofluorene	C13H12O2	C2(\C=C1(CC3(\C=C/[C@@H]([C@@H](C(/C1=C\C=2)=3)O)O)))	(+)-(3S,4R)-cis-3,4-dihydroxy-3,4-dihydrofluorene	3-4DH3-4DHFLUORENE	InChIKey=BEUONYFZDLXHIB-AAEUAGOBSA-N
(+)-(&alpha;<i>R</i>,&beta;<i>S</i>)-guaiacylglycerol-&beta;-guaiacyl ether	C17H20O6	COC2(\C(\O[C@@H](CO)[C@H](O)C1(\C=C(C(/O)=C\C=1)\OC))=C/C=C\C=2)	(+)-(alphaR,betaS)-guaiacylglycerol-beta-guaiacyl ether // (+)-(alphaR,betaS)-GGE	CPD-11868	InChIKey=PPZSOILKWHVNNS-DLBZAZTESA-N
(+)-(&alpha;<i>S</i>,&beta;<i>S</i>)-guaiacylglycerol-&beta;-guaiacyl ether	C17H20O6	COC2(\C(\O[C@@H](CO)[C@@H](O)C1(\C=C(C(/O)=C\C=1)\OC))=C/C=C\C=2)	(+)-(alphaS,betaS)-guaiacylglycerol-beta-guaiacyl ether // (+)-(alphaS,betaS)-GGE	CPD-11870	InChIKey=PPZSOILKWHVNNS-IRXDYDNUSA-N
(+)-2-carene	C10H16	CC2(\CC[C@H]1(C(C)(C)[C@H]1\C=2))	(+)-2-carene // (+)-Delta2-carene // 3,7,7-trimethyl bicyclohept-2-ene	CPD-4901	InChIKey=IBVJWOMJGCHRRW-BDAKNGLRSA-N
(+)-2-chloromuconolactone	C6H4O4Cl1	Cl[R]	(+)-2-chloromuconolactone	CPD-10639	InChIKey=ZPMJDSJYHGOBBW-GSVOUGTGSA-M
(+)-2-<i>epi</i>-prezizaene	C15H24	C[C@@H]3(CC[C@H]1([C@]2(CC[C@@H](C(C(C)(C)1)=C)C2)3))	(+)-2-epi-prezizaene // (3R,3aS,8aS)-3,8,8-trimethyl-7-methylideneoctahydro-1H-3a,6-methanoazulene	CPD-13069	InChIKey=RFSYBMDOYOBTCL-OPQSFPLASA-N
(+)-3'-hydroxylarreatricin	C18H20O4	C[C@@H]3([C@H](C1(\C=C/C(/O)=C\C=1))O[C@@H](C2(\C=C(C(/O)=C\C=2)\O))[C@H](C)3)	(+)-3'-hydroxylarreatricin	CPD-14401	InChIKey=HKSHEXWQPGOEAT-ZKINDDDQSA-N
(+)-3'-methyltaxifolin	C16H13O7	C3([R3])(C(/[R4])=C([R5])/C(/C1(OC2(/C(\[R9])=C([R8])\C(/[R7])=C([R6])/C(/C(=O)C(O)1)=2)))=C([R1])\C(/[R2])=3)	(+)-3'-methyltaxifolin	CPD-21289	InChIKey=JWYULKXTGMJKKM-JKSUJKDBSA-M
(+)-3-carene	C10H16	CC2(\C[C@@H]1(C(C)(C)[C@@H]1C\C=2))	(+)-3-carene // (+)-Delta3-carene // 3,7,7-trimethyl bicyclohept-3-ene // (+)-car-3-ene	CPD-8756	InChIKey=BQOFWKZOCNGFEC-BDAKNGLRSA-N
(+)-3-hydroxylarreatricin	C18H20O4	C[C@@H]3([C@H](C)[C@H](C1(\C=C(C(/O)=C\C=1)\O))O[C@@H](C2(\C=C/C(/O)=C\C=2))3)	(+)-3-hydroxylarreatricin	CPD-14402	InChIKey=HKSHEXWQPGOEAT-OODIPLFNSA-N
(+)-5-chloromuconolactone	C6H4O4Cl1	Cl[R]	(+)-5-chloromuconolactone	CPD-10638	InChIKey=KGCZGOVWTWDEQD-UHFFFAOYSA-M
(+)-5-deoxystrigol	C19H22O5	CC1(\C(=O)O[C@H](\C=1)O/C=C2([C@@H]3([C@H](OC(=O)2)C4([C@@](C)(C)CCCC(C3)=4))))	(+)-5-deoxystrigol	CPD-14652	InChIKey=QXTUQXRFEBHUBA-DYLOANJQSA-N
(+)-5-<i>epi</i>-aristolochene	C15H24	C=C([C@H]2(C[C@@]1([C@@H](CCCC/1=C\C2)C)C))C	(+)-5-epi-aristolochene // 5-epiaristolochene	CPD-4664	InChIKey=YONHOSLUBQJXPR-UMVBOHGHSA-N
(+)-5-fluoromuconolactone	C6H4O4F1	F[R]	(+)-5-fluoromuconolactone // 5-fluoromuconolactone	CPD-10883	InChIKey=YVULEJQYAMRENW-NQXXGFSBSA-M
(+)-5-oxo-1,2-campholide	C10H14O3	CC1(C)(C2(CC(=O)OC1(C)CC(=O)2))	(+)-5-oxo-1,2-campholide	+-5-oxo-1-2-campholide	InChIKey=UDJVKSCOEHSXBZ-UHFFFAOYSA-N
(+)-6-<I>endo</I>-hydroxycamphor	C10H16O2	CC1(C)([C@H]2(C[C@@H](O)[C@]1(C(=O)C2)C))	(+)-6-endo-hydroxycamphor	CPD-14180	InChIKey=UNOCSJVDJYDPTN-XSSZXYGBSA-N
(+)-6-<I>exo</I>-hydroxycamphor	C10H16O2	CC1(C)([C@H]2(C[C@H](O)[C@]1(C(=O)C2)C))	(+)-6-exo-hydroxycamphor	CPD-14301	InChIKey=UNOCSJVDJYDPTN-FWWHASMVSA-N
(+)-6-hydroxypinoresinol	C20H22O7	COC1(/C=C(\C=C/C(/O)=1)/[C@H]3(OC[C@@H]4([C@@](O)(C2(\C=C/C(/O)=C(/C=2)/OC))OC[C@H]34)))	(+)-6-hydroxypinoresinol	CPD-20976	InChIKey=JGWZMWCBIAYEIJ-AFHBHXEDSA-N
