Compound	Object ID	InChI-Key	SMILES
CPD-13006	CPD-13006	InChIKey=HDEIGSIJUBUHSO-UHFFFAOYSA-L	C1(\C=C/C(\CC(\[S-])=N\OS([O-])(=O)=O)=C\C=1)
CPD-12542	CPD-12542	InChIKey=SDADNVAZGVDAIM-QTNLNCNHSA-L	C([C@H]([C@H]1(OC([C@H]([C@H]([C@@H]1O)O)O)O))O)OP([O-])(=O)[O-]
CPD-18037	CPD-18037	InChIKey=QSLZNGPMBOCIAZ-YEARRENQSA-O	CC1(/C(C2(/C[C@H]3([C@H]4(C5(\C(\O)=C(C(\C)=C(C(/[C@@H]([C@@H]([C@@H](N([C@@H](CNC([C@H](C)[NH3+])=O)C(\C(=O)C(/OC)=1)=2)3)O)N(C)4)OC)=5)/O)\OC)))))=O)
D-SORBITOL-6-P	D-SORBITOL-6-P	InChIKey=GACTWZZMVMUKNG-SLPGGIOYSA-L	C([C@@H]([C@H]([C@@H]([C@@H](COP([O-])(=O)[O-])O)O)O)O)O
GALACTITOL-1-PHOSPHATE	GALACTITOL-1-PHOSPHATE	InChIKey=GACTWZZMVMUKNG-DPYQTVNSSA-L	C(OP(=O)([O-])[O-])[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
CPD-496	CPD-496	InChIKey=VJDOAZKNBQCAGE-VPENINKCSA-L	C(O)[C@H](O)[C@@H](O)[C@H](O)COP(=O)([O-])[O-]
CPD-19508	CPD-19508	InChIKey=MSTIYWNIGNAAMW-UHFFFAOYSA-M	C(S)([R])=NOS(=O)(=O)[O-]
MANNITOL-1P	MANNITOL-1P	InChIKey=GACTWZZMVMUKNG-KVTDHHQDSA-L	C([C@H]([C@H]([C@@H]([C@@H](COP([O-])([O-])=O)O)O)O)O)O
CPD-18028	CPD-18028	InChIKey=VOUMVHRRAVBACH-RXCQEBQVSA-M	CN5([C@H]1(C[C@@H](C(=O)[O-])[C@H]([C@@H]3(CC4(\C=C/C=C(C(/[C@@H]2(CO[C@H]1N23))=4)/OC)))5))
TAGATOSE-1-6-DIPHOSPHATE	TAGATOSE-1-6-DIPHOSPHATE	InChIKey=RNBGYGVWRKECFJ-OEXCPVAWSA-J	C(OP([O-])(=O)[O-])[C@H]1(OC(O)(COP([O-])([O-])=O)[C@@H](O)[C@H]1O)
CPD-17017	CPD-17017	InChIKey=WOBAQQGZCMXPPG-DYFRRQRXSA-J	C(OP([O-])([O-])=O)[C@@H](O)[C@@H](O)C1([C@@H](O)[C@H](O)[C@@H](O)[C@@H](OP([O-])(=O)[O-])O1)
FRUCTOSE-16-DIPHOSPHATE	FRUCTOSE-16-DIPHOSPHATE	InChIKey=RNBGYGVWRKECFJ-ARQDHWQXSA-J	C([C@@H]1([C@H]([C@@H]([C@](O1)(COP(=O)([O-])[O-])O)O)O))OP([O-])(=O)[O-]
CPD-1881	CPD-1881	InChIKey=IDPCCZAHFVRMNJ-UHFFFAOYSA-L	C(S)([R])=NOS(=O)(=O)[O-]
CPD-16513	CPD-16513	InChIKey=JNEGMBHBUAJRSX-SHUHUVMISA-N	CC3(/C(=O)C4(/C[C@H]5([C@@H]1(N(C)[C@H](CC2(\C(=O)C(\C)=C(C(=O)C\1=2)/OC))[C@H](C#N)N([C@@H](CNC(=O)C(=O)C)C(\C(=O)C(/OC)=3)=4)5))))
CPD-19339	CPD-19339	InChIKey=CBIDVWSRUUODHL-OVHBTUCOSA-L	C(O)C([C@@H](O)[C@@H]([C@H](O)[C@@H](COP(=O)([O-])[O-])O)O)=O
CPD-20055	CPD-20055	InChIKey=ZTPMQVNUISITTG-UHFFFAOYSA-M	C1(\C=C(\C=C/C(\CC(/S)=N\OS([O-])(=O)=O)=1)\O)
CPD-16503	CPD-16503	InChIKey=GVEIZEMJOBQMCQ-GSVOUGTGSA-M	C(=O)C(O)CS(=O)(=O)[O-]
CPD-22307	CPD-22307	InChIKey=QOYBDYMPWLOFKG-YCHQMNKZSA-K	C(OP([O-])(=O)[O-])[C@@H]1([C@@H](O)[C@H](O)C[C@@](C(=O)[O-])(O)O1)
CPD0-1374	CPD0-1374		C(OP(=O)([O-])[O-])[C@@H]1([C@@H](O)[C@H](O)C[C@@](C(=O)[O-])(OC)O1)
D-ALLULOSE-6-PHOSPHATE	D-ALLULOSE-6-PHOSPHATE	InChIKey=GSXOAOHZAIYLCY-JKUQZMGJSA-L	C(OP(=O)([O-])[O-])[C@H](O)[C@H](O)[C@H](O)C(=O)CO
CPD-19503	CPD-19503	InChIKey=ASMOKNJFABYERB-UHFFFAOYSA-M	C(S)([R])=NOS(=O)(=O)[O-]
CPD-18718	CPD-18718	InChIKey=GVEIZEMJOBQMCQ-VKHMYHEASA-M	C(=O)C(O)CS(=O)(=O)[O-]
CPD-15839	CPD-15839	InChIKey=ODADKLYLWWCHNB-LDYBVBFYSA-N	C([R1])C(C[R2])=O
3-UREIDO-ISOBUTYRATE	3-UREIDO-ISOBUTYRATE	InChIKey=PHENTZNALBMCQD-GSVOUGTGSA-M	C([R])(=O)[O-]
CPD-12399	CPD-12399	InChIKey=JOFREYGWDGCQDK-ZBXZNTBBSA-M	CSCCCCCCC(/SC[C@H](NC(=O)CC[C@H]([NH3+])C([O-])=O)C(=O)NCC([O-])=O)=N\O
CPD-15836	CPD-15836	InChIKey=RZFHLOLGZPDCHJ-XZXLULOTSA-N	C([R1])C(C[R2])=O
CPD-12390	CPD-12390	InChIKey=MZIFZNVMGWJZJS-VLYKUNOGSA-M	CSCCCC(/SC[C@H](NC(=O)CC[C@H]([NH3+])C([O-])=O)C(=O)NCC([O-])=O)=N\O
CPD-12402	CPD-12402	InChIKey=BTIMTMCNIPNGRC-BMSRQDKOSA-M	CSCCCCCCCC(/SC[C@H](NC(=O)CC[C@H]([NH3+])C([O-])=O)C(=O)NCC([O-])=O)=N\O
CPD-16384	CPD-16384	InChIKey=DKHMHRQWWQWLAI-PNMGQCLPSA-K	C(OP(O[C@@H]1([C@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)1))(=O)[O-])[C@@H]2([C@@H](O)[C@H](O)[C@H](O)C(O2)O[C@@H]3([C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)[C@@H](OP(=O)([O-])[O-])3))
CPD-12393	CPD-12393	InChIKey=YQUHLDHXDRTWFY-BOVADZLKSA-M	CSCCCCC(/SC[C@H](NC(=O)CC[C@H]([NH3+])C([O-])=O)C(=O)NCC([O-])=O)=N\O
CPD-12405	CPD-12405	InChIKey=GPZLPQNMTKAECU-KWBVRPRRSA-M	CSCCCCCCCCC(/SC[C@H](NC(CC[C@@H](C(=O)[O-])[NH3+])=O)C(=O)NCC([O-])=O)=N\O
CPD-15837	CPD-15837	InChIKey=FGYKUFVNYVMTAM-WAZJVIJMSA-N	C([R1])C(C[R2])=O
CPD-12396	CPD-12396	InChIKey=QUHKCUMRZNSHRI-VSDCOVJQSA-M	CSCCCCCC(/SC[C@H](NC(=O)CC[C@H]([NH3+])C([O-])=O)C(=O)NCC([O-])=O)=N\O
CPD0-1455	CPD0-1455	InChIKey=HXJDWCWJDCOHDG-RYUDHWBXSA-M	C(S[R])[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
CPD-16385	CPD-16385	InChIKey=UJXBXUSHOWRLIG-JDLYWALLSA-L	C(O)[C@@H]1([C@@H](O)[C@H](O)[C@H](O)C(O1)O[C@@H]2([C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)[C@@H](OP(=O)([O-])[O-])2))
S-METHYLGLUTATHIONE	S-METHYLGLUTATHIONE	InChIKey=QTQDDTSVRVWHMO-BQBZGAKWSA-M	CSC[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
CPD-21217	CPD-21217	InChIKey=XAAOGZMKEJNHLW-HOTGVXAUSA-M	C(S[R])[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
CPD-15838	CPD-15838	InChIKey=OTXNTMVVOOBZCV-WAZJVIJMSA-N	C([R1])C(C[R2])=O
CPD0-2511	CPD0-2511	InChIKey=CGHFSBDRIVGZLL-QWRGUYRKSA-M	CC1(\C(\O)=C(/C=C(\C=1)/O)\SC[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O)
CPD-19760	CPD-19760	InChIKey=PBSYQNUIZQXWAE-UWVGGRQHSA-M	C(SC1(\C(\O)=C/C=C(/C=1)/O))[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
CPD-23670	CPD-23670	InChIKey=ITHCSGCUQDMYAI-ZMIZWQJLSA-N	C(OP(O)(O)=O)[C@H]([C@H]([C@@](O)(C(=O)O)COP(O)(O)=O)O)O
S-LACTOYL-GLUTATHIONE	S-LACTOYL-GLUTATHIONE	InChIKey=VDYDCVUWILIYQF-CSMHCCOUSA-M	C(S[R])[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
S-ACETYLGLUTATHIONE	S-ACETYLGLUTATHIONE	InChIKey=FVRWSIPJNWXCEO-YUMQZZPRSA-M	C(S[R])[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
CPD-15823	CPD-15823	InChIKey=FVLQEFBCRZSAQO-UHFFFAOYSA-N	C3(\C=C/C(/C1(C2(\C(\OCC=1)=C/C=C\C=2)))=C\C=3)
CPD-549	CPD-549	InChIKey=CEWPGJBJGGBRQM-YUMQZZPRSA-L	C(S[R])[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
CPD-8872	CPD-8872	InChIKey=YUKXYNWSJMQEBV-GYZKLXCISA-M	C(S[R])[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
