Object ID	SMILES
CPD-20086	CC(C)[C@@H]1([C@H](O)/C=C(C)/CC/C=C(C)/CC1)
CPD-20434	C=CC(O)(C)CC[C@@]1(C)([C@H]2([C@](C)(CC[C@H](C)1)C(/C)=C/CC2))
CPD-10140	C=C(C1(CCC2(C(C1)O2)(C)))C
CPD-10139	C=C(C1(CCC2(C(C1)O2)(C)))C
CPD-20250	C[C@H]1([C@@H]2(CC(C)(C)C[C@@H](O)CC(/C)=C(CC1)/2))
CPD-14088	O(P(=O)([O-])OP(=O)([O-])[O-])[a monoterpenol]
3-4DH3-4DHFLUORENE	C2(\C=C1(CC3(\C=C/[C@@H]([C@@H](C(/C1=C\C=2)=3)O)O)))
CPD-11868	COC2(\C(\O[C@@H](CO)[C@H](O)C1(\C=C(C(/O)=C\C=1)\OC))=C/C=C\C=2)
CPD-11870	COC2(\C(\O[C@@H](CO)[C@@H](O)C1(\C=C(C(/O)=C\C=1)\OC))=C/C=C\C=2)
CPD-4901	CC2(\CC[C@H]1(C(C)(C)[C@H]1\C=2))
CPD-10639	Cl[R]
CPD-13069	C[C@@H]3(CC[C@H]1([C@]2(CC[C@@H](C(C(C)(C)1)=C)C2)3))
CPD-14401	C[C@@H]3([C@H](C1(\C=C/C(/O)=C\C=1))O[C@@H](C2(\C=C(C(/O)=C\C=2)\O))[C@H](C)3)
CPD-21289	C3([R3])(C(/[R4])=C([R5])/C(/C1(OC2(/C(\[R9])=C([R8])\C(/[R7])=C([R6])/C(/C(=O)C(O)1)=2)))=C([R1])\C(/[R2])=3)
CPD-8756	CC2(\C[C@@H]1(C(C)(C)[C@@H]1C\C=2))
CPD-14402	C[C@@H]3([C@H](C)[C@H](C1(\C=C(C(/O)=C\C=1)\O))O[C@@H](C2(\C=C/C(/O)=C\C=2))3)
CPD-10638	Cl[R]
CPD-14652	CC1(\C(=O)O[C@H](\C=1)O/C=C2([C@@H]3([C@H](OC(=O)2)C4([C@@](C)(C)CCCC(C3)=4))))
CPD-4664	C=C([C@H]2(C[C@@]1([C@@H](CCCC/1=C\C2)C)C))C
CPD-10883	F[R]
+-5-oxo-1-2-campholide	CC1(C)(C2(CC(=O)OC1(C)CC(=O)2))
CPD-14180	CC1(C)([C@H]2(C[C@@H](O)[C@]1(C(=O)C2)C))
CPD-14301	CC1(C)([C@H]2(C[C@H](O)[C@]1(C(=O)C2)C))
CPD-20976	COC1(/C=C(\C=C/C(/O)=1)/[C@H]3(OC[C@@H]4([C@@](O)(C2(\C=C/C(/O)=C(/C=2)/OC))OC[C@H]34)))
CPD-3942	C2([C@@]1(C4(C(/O[C@@H]1C3(\C(\O2)=C/C(/O)=C\C=3))=C\C5(\OCOC(/C=4)=5)))(O))
CPD-19812	CC[C@H](C)[C@H](NC(=O)C[C@H]1(CCC(=O)[C@@H](C\C=C/CC([O-])=O)1))C([O-])=O
CPD-19820	CC\C=C/CC1(C(=O)CCC1CC(N[C@@H]([R])C([O-])=O)=O)
CPD-13420	CC[C@H](C)[C@H](NC(=O)C[C@H]1(CCC(=O)[C@@H](C\C=C/CCO)1))C([O-])=O
CPD-19818	CC\C=C/CC1(C(=O)CCC1CC(N[C@@H]([R])C([O-])=O)=O)
CPD-19811	CC[C@H](C)[C@H](NC(=O)C[C@H]1(CCC(=O)[C@@H](C\C=C/CC=O)1))C([O-])=O
CPD-19819	CC\C=C/CC1(C(=O)CCC1CC(N[C@@H]([R])C([O-])=O)=O)
CPD-731	CC\C=C/C[C@@H]1(C(=O)CC[C@@H]1CC([O-])=O)
CPD-11529	CC\C=C/C[C@@H]1(C(=O)CC[C@@H]1CC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-])=O)
CPD-19806	CC\C=C/CC1(C(=O)CCC1CC(N[C@@H]([R])C([O-])=O)=O)
CPD-11259	CC\C=C/C[C@@H]1(C(=O)CC[C@@H]1CC(N[C@@H]([C@@H](C)CC)C([O-])=O)=O)
CPD-19817	CC\C=C/CC1(C(=O)CCC1CC(N[C@@H]([R])C([O-])=O)=O)
CPD-1962	C3(/C=C(\C=C/C(/[C@@H]1([C@@H](O)CC2(/C(/O1)=C\C(\O)=C/C(/O)=2)))=3)/O)
CPD-20214	CC(C)[C@@H]2([C@H]1([C@H](CCC(/C)=C/1)C(/C)=C/C2))
CPD-8235	CC1(\[C@H]3(C[C@@](C)(C\C=1)[C@]2(C)([C@@](C)(CCC2)3)))
CPD-8799	CC(C)[C@H]2([C@@H]1([C@H](CCC(/C)=C/1)C(/C)=C/C2))
CPD-8788	CC(C)[C@H]2([C@H]1([C@@H](CCC(/C)=C/1)C(/C)=C/C2))
CPD-14201	CC(C)=CCCC(C)C1(\C=C/C(\C)=C\C=1)
CPD-8798	CC(C)[C@H]2([C@H]1([C@H](CCC(/C)=C/1)C(/C)=C/C2))
CPD-18812	CC(C)C1(C\C=C(C)/C=C\1)
CPD-8754	CC1(\[C@H]2(C[C@@H](C\C=1)C2(C)C))
CPD-11377	CC(C)=CCCC1(C)(C2(CC3(C(C)1C(C2)3)))
CPD-13496	CC(\CO)=C\CCC3(C1(CC2(C(C1)[C@](C)23)))C
CPD-14023	O[R]
CPD-4894	CC(C)[C@]12([C@@H](C1)C(/C)=C/C2)
CPD-7554	C=C([C@H]1([C@H]2(\C=C(C)/CC[C@@H]([C@@H](CC1)C)2)))C
CPD-8794	CC(C)[C@H]2([C@@H]1([C@@H](C\C=C(C)/C1)C(/C)=C/C2))
CPD-8238	C=C1(CC[C@]3(C)(C[C@@H]1[C@@]2(C)([C@](C)(CCC2)3)))
CPD-8796	CC(C)[C@H]2([C@@H]1([C@H](C\C=C(C)/C1)C(/C)=C/C2))
CPD-8789	CC(C)[C@H]2([C@H]1([C@@H](C\C=C(C)/C1)C(/C)=C/C2))
CPD-13785	CC1(/CC[C@@H]2(C(C[C@@H](C(CC/C=1)=C)2)(C)C))
CPD-8241	CC2(\CC[C@]1(C(CCCC1(C)C)=C)(C\C=2))
CPD-8795	CC(C)[C@H]2([C@H]1([C@H](C\C=C(C)/C1)C(/C)=C/C2))
CPD-8769	CC(C1(CCC(\C=C/1)=C))C
CPD-8755	C=C1(CC[C@@H]2(C[C@H]1C2(C)C))
CPD-1901	CC2(\C=C(C3(\C(=O)[C@]1(C(/OC)=C\C(=O)/C=C1/C(OC)=O)OC(/C=2)=3))\O)
CPD-864	CC1(C)([C@@H]2(C(=O)C[C@@](C)1C(=O)C2))
CPD-1903	O[R]
+-bornyl-diphosphate	CC2(C1(C)(CCC(CC(OP(OP([O-])([O-])=O)([O-])=O)1)2))C
CPD-8767	C=C1(C(C)(C)[C@H]2(C[C@H]1CC2))
CPD-862	C([R1])C(C[R2])=O
CPD-10037	C=C([C@@H]1(CC(C(/C)=C/C1)=O))C
CPD-13786	CC1([C@H]2(CC[C@@]3(C[C@]([C@H](C1)2)(CCC3)O)C))C
CPD-1961	C3(/C=C(C(/O)=C\C(\[C@H]1(OC2(\C(/C[C@@H]1O)=C(/C=C(/C=2)/O)\O)))=3)/O)
CPD-22361	C[C@H]1(CC[C@@H]2([C@H]1C(O)O\C=C(C)/2))
CPD-22360	C[C@H]1(CC[C@@H]2([C@H]1C(=O)O\C=C(C)/2))
CPD-15030	C[C@H]1(CC[C@H]2([C@@H]1C(O)O\C=C(C)/2))
CPD-15029	C[C@H]1(CC[C@H]2([C@@H]1C(=O)O\C=C(C)/2))
CPD-13486	C1(\C=C/C3(/C(\C=1)=C\C=C2(\C=C/[C@H](O)[C@H](O)C/2=3)))
CPD-692	CC(\C=C\[C@@]1(C(C)(C)CC(=O)\C=C(C)/1)O)=C\C=O
CPD-4941	C=C([C@H]1(CC[C@H](CC1=O)C))C
-CIS-SABINOL	CC([C@@]12(C[C@@H](O)C([C@H]1C2)=C))C
CPD-8832	O[R]
CPD-9799	CC(C)(C1(CC3(/C(/O1)=C\C=C2(\C=C/C(OC/2=3)=O))))O
CPD-14027	CC(/CC[C@@H]1([C@]2(CCCC(C)(C)[C@H](CCC1=C)2)C))=C\CO
CPD-4750	CC(/CC[C@@H]1([C@]2(CCCC(C)(C)[C@H](CCC1=C)2)C))=C\COP([O-])(=O)OP([O-])([O-])=O
CPD-20136	CC(C)[C@]12(O[C@]3(C)(CC[C@@H]([C@@H](C)CC1)[C@H]2C3))
CPD-20083	CC([C@@H]1(O[C@]2(C)(CC[C@@H]3([C@@H](C)CC[C@@]1(C2)3))))C
CPD-9410	CC1(/CC[C@H]2(C(C(=O)O[C@H](/C=C(C)/CC/C=1)2)=C))
CPD-21664	CC1(/CC[C@H]2(C(C(=O)O[C@@H](/C=C(C)/CC/C=1)2)=C))
CPD-12880	CC(C)[C@H]1(CC[C@H](C)C2(\[C@@H]1\C=C(C)/C\C=2))
CPD-18963	COC1(\C(\O)=C/C=C(/C=1)/[C@H]2(OC3(C(/OC)=C\C(/C=C/C([O-])=O)=CC([C@H](CO)2)=3)))
CPD-18964	COC1(\C(\O)=C/C=C(/C=1)/[C@H]2(OC3(C(/OC)=C\C(/C=C/C([O-])=O)=CC([C@H](C=O)2)=3)))
CPD-18965	COC1(\C(\O)=C/C=C(/C=1)/[C@H]2(OC3(C(/OC)=C\C(/C=C/C([O-])=O)=CC([C@H](C([O-])=O)2)=3)))
CPD-19314	COC1(\C(\O)=C/C=C(/C=1)/[C@H]2(OC3(C(/OC)=C\C(/C=C/C([O-])=O)=CC([C@H](C(O)O)2)=3)))
CPD-18961	COC1(\C(\O)=C/C=C(/C=1)/[C@H]2(OC3(C(/OC)=C\C(/C=C/CO)=CC([C@H](CO)2)=3)))
CPD-18962	C(=O)[R]
CPD-8793	CC(C)[C@H]2([C@@H]1(C(/CCC(/C)=C/1)=C(C)/CC2))
CPD-1722	CC([C@@H]2(CCC(/C)=C1(CCC(/C)=C/[C@H]12)))C
CPD-8758	CC(C1(\CC[C@]2(CCCC(/C)=C(/C=1)/2)C))C
CPD-19800	C1(OC2(\C(\O1)=C/C=C(/C=2)/[C@H]3(OC[C@H]4([C@H](OC[C@H]34)C5(\C=C(C(/O)=C\C=5)\O)))))
CPD-19801	C4(/C=C(C(/O)=C\C(\[C@@H]2([C@H]3(CO[C@H](C1(\C=C(C(/O)=C\C=1)\O))[C@@H](CO2)3)))=4)/O)
CPD-10026	O[R]
CPD-10039	C=C(C)[C@@H]1(CC[C@@H](C)C(=O)C1)
DIHYDROKAEMPFEROL-CMPD	C3([R3])(C(/[R4])=C([R5])/C(/C1(OC2(/C(\[R9])=C([R8])\C(/[R7])=C([R6])/C(/C(=O)C(O)1)=2)))=C([R1])\C(/[R2])=3)
CPD-7087	C3(/C(/[C@H]1(OC2(/C=C(/C=C(C(\C([C@@H]1O)=O)=2)/O)/[O-])))=C\C(\O)=C(C(/O)=3)\O)
CPD-11287	CC(C)=CCC[C@@]1(C)([C@@H]2(C[C@@H]1C(CC2)=C))
CPD-13270	CC(C)=CCC[C@](C)(O)[C@@H]1(CCC(/C)=C/C1)
+-epi-beta-santalene	CC(C)=CCCC1(C)(C(C2(CCC1C2))=C)
CPD-9959	C[C@@H]1([C@@]23(C(/CC1)=C(C)/[C@@](C)(C)[C@@H](C2)CC3))
CPD-19099	C3(C(/[R2])=C([R1])/C(/[C@@H]1(OC2(\C(/[R9])=C([R8])/C(\[R7])=C([R6])\C(/C[C@@H]1O)=2)))=C([R5])\C(/[R4])=3)[R3]
CPD-19100	C3(C(/[R2])=C([R1])/C(/[C@@H]1(OC2(\C(/[R9])=C([R8])/C(\[R7])=C([R6])\C(/C[C@@H]1O)=2)))=C([R5])\C(/[R4])=3)[R3]
CPD-12879	CC(C)[C@H]1(CC[C@H](C)[C@@]2(O)([C@@H]1\C=C(C)/CC2))
CPD-19101	C3(C(/[R2])=C([R1])/C(/[C@@H]1(OC2(\C(/[R9])=C([R8])/C(\[R7])=C([R6])\C(/C[C@@H]1O)=2)))=C([R5])\C(/[R4])=3)[R3]
CPD-19802	C1(OC2(\C(\O1)=C/C=C(/C=2)/[C@H]5([C@H]6(CO[C@H](C4(\C=C3(C(/OCO3)=C\C=4)))[C@@H](CO5)6))))
